OBJECTID,INSPIREID,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,CODIGOINE,Shape__Area,Shape__Length
1,ES.IGN.SIGLIM34081616266,34081616266,Villarejo-Periesteban,ES4,ES42,ES423,16266,56843755.6890869,34825.9362568208
2,ES.IGN.SIGLIM34081616269,34081616269,Villares del Saz,ES4,ES42,ES423,16269,119121617.440186,55911.4429041602
3,ES.IGN.SIGLIM34081616270,34081616270,Villarrubio,ES4,ES42,ES423,16270,48132651.4802246,37274.1281575506
4,ES.IGN.SIGLIM34081616271,34081616271,Villarta,ES4,ES42,ES423,16271,43008907.0421143,33812.8654790333
5,ES.IGN.SIGLIM34081616272,34081616272,Villas de la Ventosa,ES4,ES42,ES423,16272,249233174.789429,73449.5837701147
6,ES.IGN.SIGLIM34081616273,34081616273,Villaverde y Pasaconsol,ES4,ES42,ES423,16273,35941924.6568604,26872.5596469232
7,ES.IGN.SIGLIM34110606056,34110606056,Garbayuela,ES4,ES43,ES431,06056,139805964.350098,56883.7330723323
8,ES.IGN.SIGLIM34081616274,34081616274,Víllora,ES4,ES42,ES423,16274,116715801.313049,57688.0820839378
9,ES.IGN.SIGLIM34081616275,34081616275,Vindel,ES4,ES42,ES423,16275,43826377.8747559,27315.0828547508
10,ES.IGN.SIGLIM34081616276,34081616276,Yémeda,ES4,ES42,ES423,16276,48853825.7496338,35953.1875554898
11,ES.IGN.SIGLIM34081616277,34081616277,Zafra de Záncara,ES4,ES42,ES423,16277,133902209.490479,57691.9776808338
12,ES.IGN.SIGLIM34121515049,34121515049,Moeche,ES1,ES11,ES111,15049,92411239.3720703,49430.3950081151
13,ES.IGN.SIGLIM34121515050,34121515050,Monfero,ES1,ES11,ES111,15050,325835833.379395,101365.918208743
14,ES.IGN.SIGLIM34121515051,34121515051,Mugardos,ES1,ES11,ES111,15051,23393857.5712891,34390.5153574533
15,ES.IGN.SIGLIM34121515052,34121515052,Muxía,ES1,ES11,ES111,15052,229162281.998047,122778.839994784
16,ES.IGN.SIGLIM34121515053,34121515053,Muros,ES1,ES11,ES111,15053,136714995.337402,101893.219841591
17,ES.IGN.SIGLIM34121515054,34121515054,Narón,ES1,ES11,ES111,15054,127745738.22168,82440.9359799831
18,ES.IGN.SIGLIM34081616278,34081616278,Zafrilla,ES4,ES42,ES423,16278,182236293.970947,75005.3595876509
19,ES.IGN.SIGLIM34081616279,34081616279,Zarza de Tajo,ES4,ES42,ES423,16279,78243550.2825928,38715.1525277335
20,ES.IGN.SIGLIM34081616280,34081616280,Zarzuela,ES4,ES42,ES423,16280,69346483.434082,34812.3509266208
21,ES.IGN.SIGLIM34121515055,34121515055,Neda,ES1,ES11,ES111,15055,45113682.2426758,41155.0214517073
22,ES.IGN.SIGLIM34121515056,34121515056,Negreira,ES1,ES11,ES111,15056,214670651.955566,105957.083261872
23,ES.IGN.SIGLIM34121515057,34121515057,Noia,ES1,ES11,ES111,15057,73281190.9970703,64750.1834007134
24,ES.IGN.SIGLIM34121515058,34121515058,Oleiros,ES1,ES11,ES111,15058,83365110.7480469,77895.2565293263
25,ES.IGN.SIGLIM34121515059,34121515059,Ordes,ES1,ES11,ES111,15059,294814519.658203,109730.483261716
26,ES.IGN.SIGLIM34121515060,34121515060,Oroso,ES1,ES11,ES111,15060,136158523.770508,91022.2691082501
27,ES.IGN.SIGLIM34121515061,34121515061,Ortigueira,ES1,ES11,ES111,15061,403587390.516602,173549.116534116
28,ES.IGN.SIGLIM34121515062,34121515062,Outes,ES1,ES11,ES111,15062,187089303.828613,94077.1971898342
29,ES.IGN.SIGLIM34121515064,34121515064,Paderne,ES1,ES11,ES111,15064,75243304.4365234,56464.1673419359
30,ES.IGN.SIGLIM34081616901,34081616901,Campos del Paraíso,ES4,ES42,ES423,16901,370317079.649902,104552.720697751
31,ES.IGN.SIGLIM34081616902,34081616902,Valdetórtola,ES4,ES42,ES423,16902,175697998.139282,79107.2788117197
32,ES.IGN.SIGLIM34121515065,34121515065,Padrón,ES1,ES11,ES111,15065,89781117.5141602,71096.9851345487
33,ES.IGN.SIGLIM34121515066,34121515066,O Pino,ES1,ES11,ES111,15066,246295867.771973,117197.578165948
34,ES.IGN.SIGLIM34081616903,34081616903,Las Valeras,ES4,ES42,ES423,16903,191735695.3302,66409.7505534669
35,ES.IGN.SIGLIM34121515067,34121515067,A Pobra do Caramiñal,ES1,ES11,ES111,15067,59827599.0332031,53799.3070376375
36,ES.IGN.SIGLIM34121515068,34121515068,Ponteceso,ES1,ES11,ES111,15068,174316603.384277,108768.611701963
37,ES.IGN.SIGLIM34121515069,34121515069,Pontedeume,ES1,ES11,ES111,15069,55632636.1992188,52942.8128396028
38,ES.IGN.SIGLIM34121515070,34121515070,As Pontes de García Rodríguez,ES1,ES11,ES111,15070,474425914.493652,135499.375891279
39,ES.IGN.SIGLIM34121515071,34121515071,Porto do Son,ES1,ES11,ES111,15071,175421458.454102,104773.671213311
40,ES.IGN.SIGLIM34121515072,34121515072,Rianxo,ES1,ES11,ES111,15072,108756999.689453,67144.3879853154
41,ES.IGN.SIGLIM34121515073,34121515073,Ribeira,ES1,ES11,ES111,15073,125435920.087402,156297.089789938
42,ES.IGN.SIGLIM34081616904,34081616904,Fuentenava de Jábaga,ES4,ES42,ES423,16904,228043515.150391,81788.4740946979
43,ES.IGN.SIGLIM34081616905,34081616905,Arcas,ES4,ES42,ES423,16905,138902005.011597,63875.7164525296
44,ES.IGN.SIGLIM34081616906,34081616906,Los Valdecolmenas,ES4,ES42,ES423,16906,53587032.8312988,32274.0700771949
45,ES.IGN.SIGLIM34081616908,34081616908,Pozorrubielos de la Mancha,ES4,ES42,ES423,16908,123663659.504944,65309.6740288255
46,ES.IGN.SIGLIM34081616909,34081616909,Sotorribas,ES4,ES42,ES423,16909,256703408.079834,88221.9782133423
47,ES.IGN.SIGLIM34081616910,34081616910,Villar y Velasco,ES4,ES42,ES423,16910,105812543.797485,44626.2505346596
48,ES.IGN.SIGLIM34081919001,34081919001,Abánades,ES4,ES42,ES424,19001,63191985.8879395,34321.4321902722
49,ES.IGN.SIGLIM34081919002,34081919002,Ablanque,ES4,ES42,ES424,19002,90052934.6051025,44290.3403967826
50,ES.IGN.SIGLIM34081919003,34081919003,Adobes,ES4,ES42,ES424,19003,56831031.9066772,31860.9946285892
